Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition
0909802M,4-Jan-02,12/12/02 0:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checkpoint,Other,$350.00 ,Approved,$350.00 ,Approve in Full
0202417M,2-Feb-02,1/16/04 0:00,SEA,Seattle-Tacoma International,,Property Damage,Checked Baggage,Luggage (all types including footlockers),$100.00 ,Settled,$50.00 ,Settle
0202445M,4-Feb-02,11/26/03 0:00,STL,Lambert St. Louis International,American Airlines,Property Damage,Checked Baggage,Cell Phones,$278.88 ,Settled,$227.92 ,Settle
0909816M,7-Feb-02,1/6/03 0:00,MIA,Miami International Airport,American Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),$50.00 ,Approved,$50.00 ,Approve in Full
2.00503E+12,18-Feb-02,2/5/05 0:00,MCO,Orlando International Airport,Delta (Song),Property Damage,Checkpoint,Baby - Strollers; car seats; playpen; etc.,$84.79 ,Approved,$84.79 ,Approve in Full
2.00503E+12,18-Feb-02,2/17/05 0:00,CAK,Akron-Canton Regional,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Other,$459.01 ,Settled,$227.00 ,Settle
2.00705E+12,30-Apr-02,4/26/07 0:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checked Baggage,Professional Equipment,$106.52 ,Approved,$106.52 ,Approve in Full
12772,20-Jun-02,5/9/02 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,,Checkpoint,Clothing - Shoes; belts; accessories; etc.,$75.00 ,Approved,$75.00 ,Approve in Full
14268,20-Jun-02,6/16/02 0:00,PHX,Phoenix Sky Harbor International,,Property Damage,Checkpoint,Computer - Laptop,$2;270.09 ,Canceled,,
2.0041E+12,25-Jun-02,5/4/02 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,,Passenger Property Loss,Checkpoint,Jewelry - Fine,$4;457.29 ,Denied,,Deny
13334,8-Jul-02,6/4/02 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,,Other,Clothing - Shoes; belts; accessories; etc.,$450.00 ,Canceled,,
0616771L,12-Jul-02,,,,,,Other,Clothing - Shoes; belts; accessories; etc.,,Denied,,Deny
0714534M,22-Jul-02,3/6/02 0:00,,,Northwest Airlines,Property Damage,Other,Photographic Film,$68.00 ,Denied,$0.00 ,Deny
0616540L,22-Jul-02,,,,,,Other,Other,,Insufficient; one of the following items required: sum certain; statement of fact; signature; location of incident; and date.,,
0703556M,2-Jan-03,,PHL,Philadelphia International Airport,,,Other,Luggage (all types including footlockers),,Denied,$0.00 ,Deny
20175,2-Jan-03,10/9/02 0:00,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,,Other,Other,$54.13 ,Denied,$0.00 ,Deny
21789,2-Jan-03,11/23/02 0:00,HOU,William P. Hobby,,Property Damage,Checkpoint,Cameras - Digital,$352.99 ,Settled,$150.00 ,Settle
21936,2-Jan-03,12/2/02 0:00,BOI,Boise Air Terminal/Gowen Field,Northwest Airlines,,Checkpoint,Computer - Laptop,$395.00 ,Settled,$198.00 ,Settle
