country_id,report_country,IDF region,Report Age,Report Gender,Report set,"Adults with diabetes (20-79) in 1,000s","Adults population (20-79) in 1,000s",Diabetes prevalence (20-79)
1,Afghanistan,MENA,20-24,Female,Urban,6.786986809,442.6952889,1.53%
1,Afghanistan,MENA,35-39,Female,Urban,17.8342586,237.2282986,7.52%
1,Afghanistan,MENA,50-54,Female,Urban,21.71590376,117.2190779,18.53%
1,Afghanistan,MENA,65-69,Female,Urban,14.60424365,57.45984578,25.42%
1,Afghanistan,MENA,20-24,Male,Urban,2.699735922,474.4290265,0.57%
1,Afghanistan,MENA,35-39,Male,Urban,14.85293952,262.9102938,5.65%
1,Afghanistan,MENA,50-54,Male,Urban,23.05592289,126.7860692,18.18%
1,Afghanistan,MENA,65-69,Male,Urban,11.71620506,51.73895043,22.64%
11,Australia,WP,20-24,Female,Rural,0.192313479,82.40645821,0.23%
11,Australia,WP,35-39,Female,Urban,11.7809161,733.0008553,1.61%
11,Australia,WP,50-54,Female,Rural,5.219782425,81.66263568,6.39%
11,Australia,WP,65-69,Female,Urban,83.81532989,554.1271943,15.13%
11,Australia,WP,20-24,Male,Urban,1.55069007,764.0403008,0.20%
11,Australia,WP,35-39,Male,Rural,1.424242975,84.15717505,1.69%
11,Australia,WP,50-54,Male,Rural,6.533528877,81.3840891,8.03%
11,Australia,WP,65-69,Male,Urban,92.79409084,542.2979459,17.11%
21,Benin,AFR,20-24,Female,Urban,0.431670415,237.9592432,0.18%
21,Benin,AFR,35-39,Female,Rural,0.721844571,174.3600619,0.41%
21,Benin,AFR,50-54,Female,Urban,1.814122024,78.9983428,2.30%
21,Benin,AFR,65-69,Female,Rural,0.549517124,43.5982884,1.26%
21,Benin,AFR,20-24,Male,Urban,0.430946355,237.5601031,0.18%
21,Benin,AFR,35-39,Male,Urban,1.302843398,141.1206842,0.92%
21,Benin,AFR,50-54,Male,Urban,1.78446167,77.70674344,2.30%
21,Benin,AFR,65-69,Male,Rural,0.444062668,35.23160864,1.26%
31,Burkina Faso,AFR,20-24,Female,Urban,0.309017659,270.8165045,0.11%
31,Burkina Faso,AFR,35-39,Female,Urban,3.250535777,159.0452612,2.04%
31,Burkina Faso,AFR,50-54,Female,Urban,3.671468816,83.18248343,4.41%
31,Burkina Faso,AFR,65-69,Female,Urban,0.456337549,37.30749664,1.22%
31,Burkina Faso,AFR,20-24,Male,Rural,3.235164044,605.6596345,0.53%
31,Burkina Faso,AFR,35-39,Male,Rural,4.849968688,339.2666515,1.43%
31,Burkina Faso,AFR,50-54,Male,Urban,4.37120409,71.63417471,6.10%
31,Burkina Faso,AFR,65-69,Male,Rural,3.583937499,54.99085384,6.52%
41,Chile,SACA,20-24,Female,Rural,0.456186012,68.69873177,0.66%
41,Chile,SACA,35-39,Female,Rural,3.210678829,64.16317123,5.00%
41,Chile,SACA,50-54,Female,Rural,9.400629543,63.04956536,14.91%
41,Chile,SACA,65-69,Female,Rural,8.000301587,38.49445442,20.78%
41,Chile,SACA,20-24,Male,Rural,0.268541044,72.84889136,0.37%
41,Chile,SACA,35-39,Male,Urban,16.87293253,580.8233001,2.91%
41,Chile,SACA,50-54,Male,Rural,8.057761089,61.36090071,13.13%
41,Chile,SACA,65-69,Male,Rural,7.843171366,32.1819927,24.37%
51,Côte d'Ivoire,AFR,20-24,Female,Rural,2.077496555,492.8656788,0.42%
51,Côte d'Ivoire,AFR,35-39,Female,Urban,7.136358588,349.1744419,2.04%
51,Côte d'Ivoire,AFR,50-54,Female,Rural,5.310287409,146.854563,3.62%
51,Côte d'Ivoire,AFR,65-69,Female,Rural,4.33827352,63.73596505,6.81%
51,Côte d'Ivoire,AFR,20-24,Male,Rural,2.676100748,500.9966044,0.53%
51,Côte d'Ivoire,AFR,35-39,Male,Rural,4.048214121,283.1820446,1.43%
51,Côte d'Ivoire,AFR,50-54,Male,Urban,12.53124447,205.3588296,6.10%
51,Côte d'Ivoire,AFR,65-69,Male,Urban,2.708710635,98.21919789,2.76%
61,Egypt,MENA,20-24,Female,Urban,60.63144343,1649.047606,3.68%
61,Egypt,MENA,35-39,Female,Rural,180.2009606,1841.436241,9.79%
61,Egypt,MENA,50-54,Female,Rural,256.8008618,1127.517153,22.78%
61,Egypt,MENA,65-69,Female,Urban,251.5005649,477.6733374,52.65%
61,Egypt,MENA,20-24,Male,Rural,53.52163034,2241.365577,2.39%
61,Egypt,MENA,35-39,Male,Rural,153.9859396,1907.127745,8.07%
61,Egypt,MENA,50-54,Male,Rural,185.1687348,1130.58865,16.38%
61,Egypt,MENA,65-69,Male,Urban,159.297471,429.0783948,37.13%
71,French Polynesia,WP,20-24,Female,Rural,0.643030467,5.226565102,12.30%
71,French Polynesia,WP,35-39,Female,Rural,1.016426964,4.416690916,23.01%
71,French Polynesia,WP,50-54,Female,Urban,1.6109404,5.04488449,31.93%
71,French Polynesia,WP,65-69,Female,Urban,0.825208461,2.391442482,34.51%
71,French Polynesia,WP,20-24,Male,Urban,0.504671843,7.007093706,7.20%
71,French Polynesia,WP,35-39,Male,Rural,0.807244329,4.500776214,17.94%
71,French Polynesia,WP,50-54,Male,Rural,1.287238575,4.363584412,29.50%
71,French Polynesia,WP,65-69,Male,Urban,0.79258908,2.374719108,33.38%
81,Guatemala,SACA,20-24,Female,Urban,2.498113208,434.6757536,0.57%
81,Guatemala,SACA,35-39,Female,Rural,13.65001999,266.567388,5.12%
81,Guatemala,SACA,50-54,Female,Rural,24.03342168,142.2674568,16.89%
81,Guatemala,SACA,65-69,Female,Urban,21.85585698,87.0212376,25.12%
81,Guatemala,SACA,20-24,Male,Urban,14.66772641,437.8725164,3.35%
81,Guatemala,SACA,35-39,Male,Rural,16.11231273,237.2882076,6.79%
81,Guatemala,SACA,50-54,Male,Urban,18.42114828,122.910018,14.99%
81,Guatemala,SACA,65-69,Male,Urban,16.14443735,72.3234776,22.32%
91,Islamic Republic of Iran,MENA,20-24,Female,Urban,34.5875869,2256.047081,1.53%
91,Islamic Republic of Iran,MENA,35-39,Female,Rural,63.10930019,1033.29858,6.11%
91,Islamic Republic of Iran,MENA,50-54,Female,Rural,75.63197007,500.6841869,15.11%
91,Islamic Republic of Iran,MENA,65-69,Female,Urban,173.3107252,681.8845113,25.42%
91,Islamic Republic of Iran,MENA,20-24,Male,Urban,13.70344531,2408.128946,0.57%
91,Islamic Republic of Iran,MENA,35-39,Male,Rural,48.5765328,945.0541229,5.14%
91,Islamic Republic of Iran,MENA,50-54,Male,Rural,66.31508197,539.0711793,12.30%
91,Islamic Republic of Iran,MENA,65-69,Male,Rural,30.17996983,225.7850301,13.37%
101,Kiribati,WP,20-24,Female,Urban,0.178649804,2.39965216,7.44%
101,Kiribati,WP,35-39,Female,Urban,0.406322246,1.62355648,25.03%
101,Kiribati,WP,50-54,Female,Urban,0.510623747,1.25781024,40.60%
101,Kiribati,WP,65-69,Female,Urban,0.178852849,0.47279392,37.83%
101,Kiribati,WP,20-24,Male,Rural,0.161750245,3.06344304,5.28%
101,Kiribati,WP,35-39,Male,Urban,0.36390399,1.45406432,25.03%
101,Kiribati,WP,50-54,Male,Rural,0.403526415,1.40153904,28.79%
101,Kiribati,WP,65-69,Male,Urban,0.143419737,0.3791272,37.83%
111,Libya,MENA,20-24,Female,Rural,0.744565455,50.90925123,1.46%
111,Libya,MENA,35-39,Female,Rural,3.437519342,56.5410569,6.08%
111,Libya,MENA,50-54,Female,Rural,4.428553867,33.14287135,13.36%
111,Libya,MENA,65-69,Female,Urban,13.34275093,47.1878406,28.28%
111,Libya,MENA,20-24,Male,Rural,0.944622582,50.81458135,1.86%
111,Libya,MENA,35-39,Male,Rural,2.933197168,56.28650013,5.21%
111,Libya,MENA,50-54,Male,Rural,3.312454675,33.38059793,9.92%
111,Libya,MENA,65-69,Male,Urban,11.21566256,43.9977657,25.49%
121,Malta,EUR,20-24,Female,Urban,0.101834024,14.346573,0.71%
121,Malta,EUR,35-39,Female,Urban,0.488643262,14.30831547,3.42%
121,Malta,EUR,50-54,Female,Urban,1.44282916,12.97886637,11.12%
