记录时间,模拟通道0,模拟通道1,模拟通道2,模拟通道3
14:02:49,0.005,0.007,0.007,0.005
15:02:49,0.005,0.008,0.007,0.005
16:02:49,0.005,0.009,0.007,0.005
17:02:49,0.005,0.01,0.007,0.005
18:02:49,0.005,0.011,0.007,0.005
19:02:49,0.005,0.012,0.007,0.005
20:02:49,0.005,0.013,0.007,0.005
21:02:49,0.005,0.014,0.007,0.005
22:02:49,0.005,0.015,0.007,0.005
23:02:49,0.005,0.016,0.007,0.005
0:02:49,0.005,0.017,0.007,0.005
1:02:49,0.005,0.018,0.007,0.005
2:02:49,0.005,0.019,0.007,0.005
3:02:49,0.005,0.02,0.007,0.005
4:02:49,0.005,0.021,0.007,0.005
5:02:49,0.005,0.022,0.007,0.005
6:02:49,0.005,0.023,0.007,0.005
