 �ɼ�ʱ�� ,   AI0 ,   AI1 ,   AI2 ,   AI3 
2018-08-16 12:50:42
12:50:43,1.021 ,2.000 ,3.000 ,4.000
12:50:44,4.000 ,-3.000 ,2.000 ,1.000 
12:50:45,0.100 ,0.200 ,0.300 ,0.400 
12:50:46,0.400 ,0.300 ,0.2000 ,0.100 
12:50:47,0.000 ,0.000 ,-0.000 ,0.000 
12:50:48,0.000 ,0.000 ,0.000 ,0.000 
12:50:49,0.000 ,0.000 ,-0.000 ,0.000 
12:50:50,0.000 ,0.000 ,0.000 ,0.000 
12:50:51,0.000 ,0.000 ,0.000 ,0.000 
12:50:52,0.000 ,-0.000 ,0.000 ,0.000 
12:50:53,0.000 ,0.000 ,0.000 ,0.000 
12:50:54,0.000 ,0.000 ,0.000 ,0.000 
12:50:55,0.000 ,0.000 ,0.000 ,0.000 
12:50:56,0.000 ,0.000 ,0.000 ,0.000 
12:50:57,0.000 ,0.000 ,0.000 ,0.000 
12:50:58,0.000 ,-0.000 ,0.000 ,0.000 
12:50:59,0.000 ,0.000 ,0.000 ,0.000 
12:51:00,0.000 ,0.000 ,0.000 ,0.000 
12:51:01,0.000 ,0.000 ,0.000 ,0.000 
12:51:02,0.000 ,0.000 ,-0.000 ,0.000 
12:51:03,0.000 ,0.000 ,-0.000 ,0.000 
12:51:04,0.000 ,0.000 ,0.000 ,0.000 
12:51:05,0.000 ,0.000 ,0.000 ,0.000 
12:51:06,0.000 ,0.000 ,0.000 ,0.000 
12:51:07,0.000 ,0.000 ,0.000 ,0.000 
12:51:08,0.000 ,0.000 ,-0.000 ,0.000 
12:51:09,0.000 ,0.000 ,0.000 ,0.000 
12:51:10,0.000 ,0.000 ,0.000 ,0.000 
12:51:11,0.000 ,0.000 ,0.000 ,0.000 
12:51:12,0.000 ,0.000 ,0.000 ,0.000 
12:51:13,0.000 ,0.000 ,0.000 ,0.000 
12:51:14,0.000 ,0.000 ,0.000 ,0.000 
12:51:15,0.000 ,0.000 ,-0.000 ,0.000 
12:51:16,0.000 ,0.000 ,0.000 ,0.000 
12:51:17,0.000 ,0.000 ,0.000 ,0.000 
12:51:18,0.000 ,-0.000 ,0.000 ,0.000 
12:51:19,0.000 ,0.000 ,0.000 ,0.000 
12:51:20,0.000 ,0.000 ,0.000 ,0.000 
12:51:21,0.000 ,0.000 ,0.000 ,0.000 
12:51:22,0.000 ,0.000 ,0.000 ,0.000 
12:51:23,0.000 ,0.000 ,0.000 ,0.000 
12:51:24,0.000 ,0.000 ,0.000 ,0.000 
12:51:25,0.000 ,0.000 ,0.000 ,0.000 
12:51:26,0.000 ,0.000 ,0.000 ,0.000 
12:51:27,0.000 ,0.000 ,0.000 ,0.000 
12:51:28,0.000 ,0.000 ,0.000 ,0.000 
12:51:29,0.000 ,0.000 ,0.000 ,0.000 
12:51:30,0.000 ,0.000 ,0.000 ,0.000 
12:51:31,0.000 ,-0.000 ,0.000 ,0.000 
12:51:32,0.000 ,0.000 ,0.000 ,0.000 
12:51:33,0.000 ,0.000 ,0.000 ,0.000 
12:51:34,0.000 ,0.000 ,0.000 ,0.000 
12:51:35,0.000 ,0.000 ,0.000 ,0.000 
12:51:36,0.000 ,0.000 ,0.000 ,0.000 
